customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST07111,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,58.29,232.58,Yes
CUST07112,Female,0,No,Yes,50,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),62.95,2995.65,No
CUST07113,Female,0,No,Yes,19,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.63,1439.89,No
CUST07114,Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,80.35,546.53,Yes
CUST07115,Female,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),78.19,680.95,No
CUST07116,Male,1,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.76,603.74,No
CUST07117,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),72.79,1584.69,No
CUST07118,Female,1,Yes,No,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),58.98,955.82,No
CUST07119,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,909.19,No
CUST07120,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,56.34,1042.94,No
CUST07121,Male,0,Yes,Yes,48,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,50.1,2326.54,No
CUST07122,Female,0,Yes,Yes,0,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),60.41,57.82,No
CUST07123,Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.19,1143.88,No
CUST07124,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),74.55,1860.94,No
CUST07125,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),82.28,242.44,No
CUST07126,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),75.58,435.55,No
CUST07127,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.04,261.42,No
CUST07128,Female,1,Yes,No,2,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,53.55,105.29,Yes
CUST07129,Female,0,No,No,30,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),51.72,1480.8,No
CUST07130,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,79.36,2381.12,No
CUST07131,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,81.65,543.77,No
CUST07132,Male,0,Yes,No,1,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),48.13,47.18,No
CUST07133,Male,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.36,5743.82,No
CUST07134,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.52,355.85,No
CUST07135,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.4,66.2,Yes
CUST07136,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,142.62,No
CUST07137,Male,0,Yes,No,69,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),79.11,5393.43,No
CUST07138,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.75,2203.77,No
CUST07139,Male,0,Yes,No,13,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,45.43,566.11,No
CUST07140,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.46,156.55,No
CUST07141,Male,0,No,Yes,11,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),52.18,553.32,No
CUST07142,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.27,25.07,Yes
CUST07143,Female,1,No,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,73.84,1800.69,No
CUST07144,Female,1,Yes,No,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.79,120.5,Yes
CUST07145,Male,1,No,No,14,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,53.23,714.31,No
CUST07146,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.24,307.6,No
CUST07147,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,17.92,Yes
CUST07148,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,1244.12,No
CUST07149,Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,88.08,592.11,No
CUST07150,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),71.34,70.39,Yes
CUST07151,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,77.86,2907.81,No
CUST07152,Male,1,No,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,57.54,166.6,No
CUST07153,Male,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),80.43,79.89,No
CUST07154,Male,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,83.99,1043.92,No
CUST07155,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.34,170.74,Yes
CUST07156,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,53.86,3859.86,No
CUST07157,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,17.24,No
CUST07158,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.49,18.08,Yes
CUST07159,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),81.45,2716.35,Yes
CUST07160,Male,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.87,142.98,Yes
CUST07161,Male,0,Yes,No,48,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,95.22,4508.37,Yes
CUST07162,Female,0,No,Yes,7,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,58.32,397.4,No
CUST07163,Female,1,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.69,21.89,No
CUST07164,Female,0,No,No,0,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),51.16,49.06,Yes
CUST07165,Male,1,No,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,66.27,392.12,Yes
CUST07166,Female,0,Yes,Yes,12,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.61,609.82,No
CUST07167,Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,75.64,73.83,No
CUST07168,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.55,1375.68,No
CUST07169,Female,0,No,Yes,8,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,57.57,438.72,No
CUST07170,Female,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.09,172.07,No
CUST07171,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,107.37,No
CUST07172,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),58.57,840.04,No
CUST07173,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.61,368.34,No
CUST07174,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,36.18,No
CUST07175,Female,0,Yes,No,44,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,3187.52,No
CUST07176,Male,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.29,481.56,No
CUST07177,Male,0,Yes,No,1,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.18,57.62,Yes
CUST07178,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.21,96.48,No
